n_jobs 	 sync 	 thread 	 multiprocess
1 	 0.013187375000000001 	 0.023834750000000002 	 0.09516620799999997
2 	 0.013187375000000001 	 0.02297258299999999 	 0.09593775000000004
3 	 0.013187375000000001 	 0.02353166699999998 	 0.09951062499999996
4 	 0.013187375000000001 	 0.023566875000000015 	 0.10649987499999991
5 	 0.013187375000000001 	 0.02646283300000002 	 0.12334441699999998
6 	 0.013187375000000001 	 0.025309499999999985 	 0.12577375000000002
7 	 0.013187375000000001 	 0.025910499999999975 	 0.12768354100000012
8 	 0.013187375000000001 	 0.025976374999999996 	 0.139405542
9 	 0.013187375000000001 	 0.025980707999999963 	 0.15010245899999997
10 	 0.013187375000000001 	 0.026069499999999968 	 0.16404716699999988
11 	 0.013187375000000001 	 0.026031499999999985 	 0.178337792
12 	 0.013187375000000001 	 0.027149749999999973 	 0.1830815830000001
13 	 0.013187375000000001 	 0.026224833999999975 	 0.2597331249999999
14 	 0.013187375000000001 	 0.026113041000000003 	 0.22838841600000004
15 	 0.013187375000000001 	 0.025816041000000012 	 0.2225979579999997
16 	 0.013187375000000001 	 0.026257666999999985 	 0.21891850000000002
